name,career_length,nba_debut,height,weight,age,Position,per game Lg,per game G,per game GS,per game MP,per game FG,per game FGA,per game FG%,per game 3P,per game 3PA,per game 3P%,per game 2P,per game 2PA,per game 2P%,per game eFG%,per game FT,per game FTA,per game FT%,per game ORB,per game DRB,per game TRB,per game AST,per game STL,per game BLK,per game TOV,per game PF,per game PTS,totals Lg,totals G,totals GS,totals MP,totals FG,totals FGA,totals FG%,totals 3P,totals 3PA,totals 3P%,totals 2P,totals 2PA,totals 2P%,totals eFG%,totals FT,totals FTA,totals FT%,totals ORB,totals DRB,totals TRB,totals AST,totals STL,totals BLK,totals TOV,totals PF,totals PTS
Alaa Abdelnaby,5 years," November 2, 1990",208cm,108kg,55,Power Forward,NBA,256,53,12.5,2.4,4.8,0.502,0,0,0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1,1.9,5.7,NBA,256,53,3200,620,1236,0.502,0,3,0,620,1233,0.503,0.502,225,321,0.701,283,563,846,85,71,69,247,484,1465
Shareef Abdur-Rahim,12 years," November 1, 1996",206cm,102kg,47,Center,NBA,830,704,34.8,6.5,13.9,0.472,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6,0.81,2.3,5.3,7.5,2.5,1,0.8,2.6,2.8,18.1,NBA,830,704,28882,5434,11515,0.472,154,519,0.297,5280,10996,0.48,0.479,4006,4943,0.81,1869,4370,6239,2109,820,638,2136,2324,15028
¨¢lex Abrines,3 years," October 26, 2016",198cm,90kg,30,Shooting Guard,NBA,174,16,16,1.8,4.5,0.387,1.3,3.4,0.368,0.5,1.1,0.443,0.525,0.5,0.6,0.88,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3,NBA,174,16,2777,305,789,0.387,219,595,0.368,86,194,0.443,0.525,95,108,0.88,49,199,248,88,92,22,72,291,924
Precious Achiuwa,2 years," December 23, 2020",203cm,102kg,24,Center,NBA,179,43,19.2,3.1,6.5,0.469,0.4,1.3,0.321,2.6,5.2,0.508,0.502,1.2,2,0.603,1.7,3.6,5.3,0.9,0.5,0.5,1,1.9,7.7,NBA,179,43,3443,547,1166,0.469,77,240,0.321,470,926,0.508,0.502,214,355,0.603,304,651,955,154,83,95,178,332,1385
Quincy Acy,7 years," November 7, 2012",201cm,108kg,33,Power Forward,NBA,337,60,16,1.7,3.9,0.444,0.5,1.6,0.35,1.2,2.3,0.506,0.513,0.9,1.1,0.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2,4.9,NBA,337,60,5392,583,1314,0.444,183,523,0.35,400,791,0.506,0.513,293,386,0.759,309,870,1179,217,140,135,219,665,1642
Jaylen Adams,3 years," October 17, 2018",183cm,102kg,27,Point Guard,NBA,41,1,10.9,1,2.9,0.331,0.6,1.9,0.329,0.3,1,0.333,0.436,0.2,0.2,0.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7,NBA,41,1,446,39,118,0.331,25,76,0.329,14,42,0.333,0.436,7,9,0.778,11,52,63,67,14,5,28,46,110
Jordan Adams,2 years," November 3, 2014",196cm,94kg,29,Shooting Guard,NBA,32,0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,NBA,32,0,263,37,92,0.402,10,26,0.385,27,66,0.409,0.457,17,28,0.607,9,21,30,19,19,7,16,26,101
Michael Adams,11 years," October 25, 1985",178cm,73kg,60,Point Guard,NBA,653,510,31.3,5,12,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,NBA,653,510,20446,3257,7849,0.415,949,2857,0.332,2308,4992,0.462,0.475,2158,2543,0.849,416,1484,1900,4209,1081,67,1402,1193,9621
Steven Adams,9 years," October 30, 2013",211cm,120kg,30,Center,NBA,706,641,26.8,3.8,6.5,0.587,0,0,0.067,3.8,6.5,0.589,0.587,1.5,2.9,0.536,3.7,4.5,8.2,1.5,0.9,1,1.5,2.5,9.2,NBA,706,641,18944,2713,4619,0.587,1,15,0.067,2712,4604,0.589,0.587,1091,2036,0.536,2599,3189,5788,1079,624,675,1029,1748,6518
Bam Adebayo,5 years," October 18, 2017",206cm,115kg,26,Center,NBA,409,305,29.3,5.6,10.2,0.555,0,0.2,0.129,5.6,10,0.561,0.556,3.4,4.5,0.754,2.2,6.3,8.5,3.4,1,0.9,2.1,2.5,14.7,NBA,409,305,11982,2303,4153,0.555,8,62,0.129,2295,4091,0.561,0.556,1390,1844,0.754,898,2571,3469,1403,419,365,878,1029,6004
